eta1	eta2	eta3	eta4	u0	u1	u2	u3	u4
1	0.19	1	1	-0.99	0.9801	0.980019	-0.970219	0.960438
1	0.19	1	1	-0.95	0.9025	0.900495	-0.85547	0.810891
1	0.19	1	1	-0.9	0.81	0.802067	-0.72186	0.643311
1	0.19	1	1	-0.85	0.7225	0.704861	-0.599132	0.496829
1	0.19	1	1	-0.8	0.64	0.609049	-0.48724	0.370941
1	0.19	1	1	-0.75	0.5625	0.514834	-0.386126	0.265054
1	0.19	1	1	-0.7	0.49	0.422454	-0.295718	0.178468
1	0.19	1	1	-0.65	0.4225	0.332191	-0.215924	0.110351
1	0.19	1	1	-0.6	0.36	0.24438	-0.146628	0.059722
1	0.19	1	1	-0.55	0.3025	0.159418	-0.08768	0.025414
1	0.19	1	1	-0.5	0.25	0.077773	-0.038887	0.006049
1	0.19	1	1	-0.45	0.2025	0	0	0
1	0.19	1	1	-0.4	0.16	-0.073255	0.029302	0.005366
1	0.19	1	1	-0.35	0.1225	-0.141243	0.049435	0.01995
1	0.19	1	1	-0.3	0.09	-0.203117	0.060935	0.041256
1	0.19	1	1	-0.25	0.0625	-0.257937	0.064484	0.066532
1	0.19	1	1	-0.2	0.04	-0.304709	0.060942	0.092847
1	0.19	1	1	-0.15	0.0225	-0.342428	0.051364	0.117257
1	0.19	1	1	-0.1	0.01	-0.370162	0.037016	0.13702
1	0.19	1	1	-0.05	0.0025	-0.387144	0.019357	0.149881
1	0.19	1	1	0	0	-0.392864	0	0.154342
1	0.19	1	1	0.05	0.0025	-0.387144	-0.019357	0.149881
1	0.19	1	1	0.1	0.01	-0.370162	-0.037016	0.13702
1	0.19	1	1	0.15	0.0225	-0.342428	-0.051364	0.117257
1	0.19	1	1	0.2	0.04	-0.304709	-0.060942	0.092847
1	0.19	1	1	0.25	0.0625	-0.257937	-0.064484	0.066532
1	0.19	1	1	0.3	0.09	-0.203117	-0.060935	0.041256
1	0.19	1	1	0.35	0.1225	-0.141243	-0.049435	0.01995
1	0.19	1	1	0.4	0.16	-0.073255	-0.029302	0.005366
1	0.19	1	1	0.45	0.2025	0	0	0
1	0.19	1	1	0.5	0.25	0.077773	0.038887	0.006049
1	0.19	1	1	0.55	0.3025	0.159418	0.08768	0.025414
1	0.19	1	1	0.6	0.36	0.24438	0.146628	0.059722
1	0.19	1	1	0.65	0.4225	0.332191	0.215924	0.110351
1	0.19	1	1	0.7	0.49	0.422454	0.295718	0.178468
1	0.19	1	1	0.75	0.5625	0.514834	0.386126	0.265054
1	0.19	1	1	0.8	0.64	0.609049	0.48724	0.370941
1	0.19	1	1	0.85	0.7225	0.704861	0.599132	0.496829
1	0.19	1	1	0.9	0.81	0.802067	0.72186	0.643311
1	0.19	1	1	0.95	0.9025	0.900495	0.85547	0.810891
1	0.3	1	1	-0.99	0.9801	0.98003	-0.97023	0.960459
1	0.3	1	1	-0.95	0.9025	0.900777	-0.855738	0.811399
1	0.3	1	1	-0.9	0.81	0.803224	-0.722901	0.645169
1	0.3	1	1	-0.85	0.7225	0.707531	-0.601401	0.5006
1	0.3	1	1	-0.8	0.64	0.613914	-0.491131	0.376891
1	0.3	1	1	-0.75	0.5625	0.522619	-0.391964	0.27313
1	0.3	1	1	-0.7	0.49	0.433922	-0.303746	0.188289
1	0.3	1	1	-0.65	0.4225	0.348138	-0.22629	0.1212
1	0.3	1	1	-0.6	0.36	0.26562	-0.159372	0.070554
1	0.3	1	1	-0.55	0.3025	0.186763	-0.10272	0.03488
1	0.3	1	1	-0.5	0.25	0.112007	-0.056003	0.012546
1	0.3	1	1	-0.45	0.2025	0.041836	-0.018826	0.00175
1	0.3	1	1	-0.4	0.16	-0.023222	0.009289	0.000539
1	0.3	1	1	-0.35	0.1225	-0.082606	0.028912	0.006824
1	0.3	1	1	-0.3	0.09	-0.135729	0.040719	0.018422
1	0.3	1	1	-0.25	0.0625	-0.181994	0.045499	0.033122
1	0.3	1	1	-0.2	0.04	-0.22082	0.044164	0.048762
1	0.3	1	1	-0.15	0.0225	-0.251668	0.03775	0.063337
1	0.3	1	1	-0.1	0.01	-0.274069	0.027407	0.075114
1	0.3	1	1	-0.05	0.0025	-0.287664	0.014383	0.08275
1	0.3	1	1	0	0	-0.292221	0	0.085393
1	0.3	1	1	0.05	0.0025	-0.287664	-0.014383	0.08275
